Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Bacteria Count (CFU/mL),Fecal Coliform,Total Coliform,Temperature,Diarrheal Cases Likelihood (%),Cholera Cases Likelihood (%),Typhoid Cases Likelihood (%)
Spring,24.14,7.8,4.529104359223,7.75,2.47,2800.0,28.0,215.0,25.5,15.995696552504024,18.45710048121904,18.49280822207444
River,19.34,7.75,3.3035148510846883,8.2,0.345,200.0,2.0,37.5,25.5,10.132610555345954,12.565533818450923,19.58667111498944
River,25.82,8.45,4.553893680174141,5.5,1.77,11650.0,116.5,245.0,26.5,12.20778202558824,18.20458068425526,18.22070076207723
Pond,27.05,8.55,4.530392263184117,5.25,2.425,12000.0,120.0,215.0,25.5,21.296469695882134,20.08618581845449,22.848764785621643
Pond,23.65,7.6,5.291525621587638,7.3,0.66,300.0,3.0,50.5,26.0,9.653337456385298,19.677549911536172,17.878410006094267
River,19.56,7.7,3.7769010260174514,7.15,0.855,200.0,2.0,43.5,24.3,10.38421640616105,6.578395785634992,20.06749881718096
Well,22.65,7.95,3.1861653160214543,6.95,0.925,200.0,2.0,50.5,24.15,7.178270520286634,13.406759879553777,19.35537630645693
River,22.84,7.7,4.281087480042439,7.0,1.575,200.0,2.0,48.0,25.5,9.98327870781888,8.525315390769217,19.39312823901001
Spring,18.78,7.6,4.00751763360433,6.95,0.585,200.0,2.0,39.0,26.0,6.82133978692436,13.230711504257254,11.785403803619266
Lake,17.66,8.05,4.256892975456104,7.15,2.495,1200.0,12.0,271.0,23.0,12.716240845844943,10.247605652840605,13.68728269381386
Pond,21.1,7.4,4.007523843153024,7.45,1.47,250.0,2.5,34.0,23.5,17.73298009277434,10.508637720333326,16.474241734441154
River,31.5,7.35,8.426365745327361,5.15,2.205,12700.0,127.0,225.0,23.0,11.801727572545376,16.236026430073167,24.825407783949167
Lake,17.4,8.2,3.160445255346584,6.05,0.92,3750.0,37.5,83.0,25.5,5.855067633971421,16.64513098221422,13.931464934339544
River,29.22,8.4,5.692782820090299,5.0,1.77,28500.0,285.0,445.0,26.5,26.858047831487,25.810070938905557,30.04320688427331
Spring,29.27,8.45,5.477000881746601,5.2,2.35,26000.0,260.0,445.0,24.0,20.75005463435853,16.803676253299344,32.084885903077954
River,27.85,7.75,5.450695625652899,5.5,3.135,8100.0,81.0,160.0,21.5,14.245169155301966,17.57153421099425,15.199750424098424
Spring,21.48,7.75,4.592365377679827,7.45,0.72,200.0,2.0,48.0,25.0,14.097386481144284,8.147941341322587,9.320999016003787
Tap,47.260000000000005,7.9,6.629484610246633,7.4,2.65,1350.0,13.5,821.5,25.0,11.520313691432255,9.20414848750129,16.28459931094292
River,28.32,7.7,4.363587392731214,7.4,0.855,300.0,3.0,46.0,24.5,17.24256876317379,10.464707774559283,15.454496291942208
Well,23.53,7.45,4.006590696629996,7.55,1.075,400.0,4.0,20.0,20.0,13.39040780596735,10.428637639565215,11.532488206867775
Well,16.39,7.7,2.3823182260854483,7.05,1.775,200.0,2.0,29.0,20.75,10.102106804267954,22.83429657106373,22.13425109686117
Well,23.0,7.5,4.165937069693161,7.6,0.85,400.0,4.0,23.0,22.5,18.465945456250054,13.1936733215708,16.060827567400256
Well,22.02,7.65,5.907329283336754,7.4,0.765,300.0,3.0,48.5,26.0,8.172870380794867,5.457800033183078,13.92723365265612
Pond,26.03,8.5,2.8163674037041257,5.25,1.87,11000.0,110.0,245.0,25.0,18.427036307580703,14.01480183958476,11.5597019615599
Lake,22.01,7.55,4.718130095187257,7.9,0.86,400.0,4.0,29.0,23.0,11.667586023194126,15.670383090806386,7.142457383634862
Tap,21.77,7.4,3.568642064405174,7.75,1.165,400.0,4.0,18.0,23.5,15.80974781763497,20.58948701962143,15.79763796337138
River,58.1,7.9,11.014034067105284,5.2,2.205,35500.0,355.0,1015.0,21.0,30.3265187871902,18.37152899052023,16.701237723812326
River,68.1,7.5,17.294475298483682,7.0,1.56,97500.0,975.0,1600.0,24.5,44.65128558654067,36.48268889646866,52.3849544711728
Spring,47.32,7.65,10.532140009547732,7.3,1.13,80100.0,801.0,905.0,24.5,35.16054554622566,45.76779227368591,39.89478121767191
Well,55.71,7.5,12.461127611035346,7.25,1.28,80100.0,801.0,940.0,24.0,39.87395436482799,39.82395206107914,57.61541270023736
Lake,34.56,7.85,5.892348145370016,7.4,0.66,400.0,4.0,823.0,26.0,7.819511754365889,7.502943288844813,25.485610072550013
Tap,23.93,7.7,5.089798874467338,7.35,0.805,300.0,3.0,48.0,24.0,17.84104869713688,13.524909245220352,12.856936706581518
Lake,24.97,7.5,5.884816684141431,6.65,0.59,33500.0,335.0,545.0,21.5,21.812496598619525,10.785919541011117,23.879875188298445
River,30.72,7.35,7.108229294790988,6.8,0.58,57000.0,570.0,940.0,23.5,27.892092582747317,29.517115699033337,37.29921197542719
Pond,31.59,7.65,7.272785919951906,7.3,0.495,20000.0,200.0,260.0,22.0,17.32179541148156,18.66161405269001,28.595161577816107
River,20.3,7.75,4.424199826197092,8.1,0.36,11650.0,116.5,147.0,18.0,8.640254433814984,18.184012916909086,8.437831149020845
River,52.57000000000001,7.55,14.571972044662663,6.0,0.44,35500.0,355.0,600.0,22.0,18.306444133123907,18.11496051609947,15.800809953969894
Well,19.05,7.7,5.066959511159006,8.2,0.42,37500.0,375.0,635.0,21.5,26.77630933717825,23.2083821670667,22.274254007341053
Well,26.790000000000003,7.65,5.737428706671197,7.75,0.6,97500.0,975.0,1310.0,22.0,40.47446327510335,38.87594392537342,48.55981031097451
Tap,29.64,7.45,6.843227157384714,6.1,0.445,57000.0,570.0,975.0,21.5,25.180167762997407,30.36542239976247,34.530329155106834
Lake,34.32,8.2,7.919106767615806,7.65,0.78,170000.0,1700.0,2500.0,26.25,69.57227660697211,62.99003532180871,75.2903204317017
Tap,21.5,7.65,6.176216667398112,6.4,0.0,90000.0,900.0,1350.0,22.35,43.763015322300944,37.67667195490967,36.01052274454102
Lake,30.73,8.2,6.728739630783649,8.0,0.86,120000.0,1200.0,1750.0,26.75,53.51276592390235,46.33782687414863,41.51216110014532
Well,22.44,8.1,5.31763177926655,9.15,0.69,33500.0,335.0,580.0,25.25,25.10864606933534,24.68405902870832,28.972508590972872
Lake,31.58,8.1,8.377493639490229,8.4,0.93,200000.0,2000.0,3100.0,25.25,75.15623707698154,80.35095956440026,75.66766307161967
Spring,20.52,7.9,4.682877597085061,7.25,0.805,200.0,2.0,47.5,23.55,5.19993668711467,10.260755627253266,3.3810786309731644
Pond,57.13,7.75,5.774851796472112,5.8,0.0,900.0,9.0,95.0,28.3,15.028099085948,10.53947451748229,13.616331402243452
River,54.81,7.6,5.582749382079526,6.05,0.0,800.0,8.0,81.0,27.85,8.298643831334271,4.275787086853618,16.90289074690591
Pond,19.92,7.8,3.7625273444195217,7.15,0.7,200.0,2.0,45.0,25.55,9.32625016491548,9.826247927595157,12.953213500256547
River,18.48,7.9,3.423335383713144,7.2,0.675,200.0,2.0,45.5,23.55,15.071612996948517,10.827503971024974,11.185934089605368
Tap,16.91,7.8,4.382727120140548,7.55,0.67,200.0,2.0,43.0,26.6,12.231715121056046,21.998215171779076,12.709069575566948
Spring,20.67,7.6,4.452490855480478,7.4,0.6,200.0,2.0,44.5,27.0,11.767654658577976,6.2808882449744114,11.530459873965484
Well,25.52,7.4,3.744558022832477,7.4,1.235,600.0,6.0,25.0,23.0,19.16276696168196,18.158764984719436,7.6183930030638365
River,30.6,7.55,6.958930973527388,7.1,4.98,3700.0,37.0,275.0,25.0,15.72125969893485,22.85548517259285,17.589852777636185
Spring,17.05,7.95,3.8110780985063166,7.3,1.26,200.0,2.0,43.5,21.0,14.504275457048973,13.086162943135443,17.095312882774426
Lake,26.69,7.8,6.2662326302755735,6.8,0.885,500.0,5.0,78.5,25.35,10.871354304945434,18.84557257907899,15.639368829336911
Tap,19.08,7.45,2.865315017022993,5.15,0.8,400.0,4.0,17.0,23.05,11.446974942855944,12.847891896030712,14.65454277460138
River,17.82,7.8,3.2578829635668742,7.25,0.725,200.0,2.0,43.5,24.35,15.880562041160813,12.738941860377611,8.500664753220184
Lake,43.85,7.95,11.383455574593311,7.35,1.995,200.0,2.0,64.0,25.65,14.208922967553844,12.896874758623545,14.707219393544078
Pond,17.54,7.8,3.146165267190609,7.6,0.54,200.0,2.0,58.0,24.0,11.96296371588806,15.95294898702276,2.151541115780214
Tap,16.54,7.9,3.721909714073114,7.3,0.64,1000.0,10.0,46.0,24.85,14.34435526284248,15.831080960968746,14.658784756949297
Well,16.94,7.8,3.762317026714668,7.45,0.66,200.0,2.0,46.0,24.65,8.836702327938752,8.392713570209535,20.845660457194555
Well,15.67,7.55,2.6615347642109586,7.4,0.72,200.0,2.0,26.5,26.95,7.182849643387771,5.572195296992236,6.025523616507042
River,17.38,7.7,3.4702373219691,7.35,0.81,200.0,2.0,50.0,26.95,6.576094250967119,10.387224809480582,10.729592291046464
River,34.9,7.7,1.879366329965464,7.95,0.38,200.0,2.0,50.5,26.95,2.5823581338773582,7.291574876609566,14.8246437769332
Spring,18.39,7.6,2.987806179332855,7.1,0.715,200.0,2.0,57.0,26.9,17.80098835915203,10.830030131018086,20.02721900508266
Pond,12.13,7.25,2.62371592430342,7.2,0.32,200.0,2.0,4.0,26.45,5.585715764040402,15.663089892326417,10.675715342564471
Well,16.76,7.65,2.6261084090175757,7.4,0.41,200.0,2.0,50.0,27.0,8.973003145887642,8.718479372835654,9.573407285012344
Well,20.17,7.9,5.066205651965817,7.05,0.84,200.0,2.0,46.0,26.25,9.452412817714317,11.116198726653478,3.688714139167262
Lake,21.200000000000003,7.4,3.284929311019684,7.5,0.8,400.0,4.0,25.0,21.0,11.597323884127348,11.541045793868554,14.330658518279588
Tap,24.14,7.5,4.654977756651508,7.5,1.405,350.0,3.5,25.0,25.0,14.39275900605524,15.753384397330306,25.19640410082287
Lake,26.5,7.5,5.440370288643046,7.4,1.4,450.0,4.5,23.0,25.0,14.5927409771557,2.8323406192532223,16.171860378360655
Spring,20.15,7.85,4.595636644533058,8.1,0.76,200.0,2.0,34.5,27.5,8.204246102957006,8.634495638187529,13.559741876002027
River,25.11,7.8,5.4070689244102805,8.25,1.105,245000.0,2450.0,3050.0,28.0,92.71120581453503,92.57838499307518,96.6599113854593
Tap,24.17,7.4,6.45658187607748,8.3,1.015,230000.0,2300.0,3650.0,27.0,89.17069770396608,91.6817111449174,89.86323053865198
Spring,24.8,7.65,5.8801165305097935,8.2,0.86,220000.0,2200.0,3650.0,27.0,83.61607452054777,81.0999853340272,82.21130519050907
Well,27.97,7.35,5.759245674476024,8.15,1.605,245000.0,2450.0,3050.0,27.5,100.0,84.59879009625148,100.0
Lake,30.99,7.55,7.731051737131636,7.6,1.39,235000.0,2350.0,2850.0,26.5,92.22335503206148,91.47316426713988,93.3222673611984
Spring,25.700000000000003,7.25,5.974529847786736,8.2,1.05,185000.0,1850.0,2800.0,26.0,75.73364515828584,69.35157749646062,75.21523652148058
River,29.34,7.85,6.8248915614206025,8.35,1.735,245000.0,2450.0,3000.0,25.5,96.74573136610752,87.67634593252322,90.97056806738478
Spring,17.48,7.6,4.40990104249501,8.3,1.3,180000.0,1800.0,2700.0,27.5,76.01344718193165,68.1087536672296,80.5148790299863
River,29.69,7.7,6.05734320156912,5.5,2.715,350.0,3.5,9.0,26.9,14.111396249940428,13.414967678203524,20.13038801618309
Well,23.13,8.2,4.181758672625624,5.9,1.16,11400.0,114.0,225.0,25.0,9.98444894473799,12.909470898239316,15.145337509534002
Lake,28.15,8.25,4.831065337260523,5.3,2.32,24000.0,240.0,380.0,21.0,22.25758181136263,12.082146005143253,29.05955231291045
Tap,36.44,8.7,8.293008408072676,5.0,1.77,18500.0,185.0,335.0,25.5,15.73964511291469,22.48351668920245,18.75065015256624
Spring,24.2,8.7,4.256092250586575,5.55,1.23,19500.0,195.0,410.0,20.25,15.640390614129862,23.531897102753547,16.752046003023647
Spring,39.09,8.7,7.816516687328133,5.05,1.37,28000.0,280.0,445.0,22.0,22.86547980808177,23.966626914687694,19.94110323006125
Pond,37.03,7.4,5.148956100238749,5.35,2.385,14000.0,140.0,225.0,23.5,22.0943504062456,13.409975100816654,11.650317082275196
Pond,44.08,7.5,6.924107452482208,4.7,3.22,14000.0,140.0,225.0,23.5,18.95006278090042,18.60743521814985,24.45530613279771
Tap,31.74,7.7,5.2941586032422885,5.4,3.67,15200.0,152.0,297.0,23.0,21.059662612446008,20.44744206782542,13.667930065156732
Pond,23.340000000000003,7.5,4.140495933867516,5.5,2.755,13000.0,130.0,235.0,23.0,23.984087112095136,20.8613721742655,14.62101130581845
Lake,37.1,7.5,6.438650240089703,5.3,5.1,16500.0,165.0,250.0,24.0,23.477590591979904,25.86059063445974,15.027518550452465
Pond,19.48,8.15,3.8959388748213626,5.65,1.73,14000.0,140.0,280.0,26.0,26.02236174079105,14.059708955942437,19.251127455266705
Well,18.95,8.05,3.503499532670584,5.0,2.375,12450.0,124.5,215.0,26.0,19.02814752895971,17.93348950449066,19.383470048895205
River,21.1,7.3,5.330317621527894,7.35,1.0,51500.0,515.0,1300.0,24.0,21.536437096631243,30.214599546672115,29.296314523543472
Well,20.66,7.2,6.0498010485105125,7.35,1.2,73000.0,730.0,1455.0,22.0,38.30421430081108,41.71980408228186,33.020639733816544
Pond,21.34,7.15,6.053507742982523,6.25,1.15,73000.0,730.0,1415.0,23.0,36.864470625332295,38.50218083524473,32.28139328573826
Tap,21.72,7.25,5.528545202369673,7.4,1.05,91500.0,915.0,1800.0,24.5,46.2702835858006,44.75025895118494,46.63709176716489
Tap,21.56,7.4,6.199799937716626,5.95,1.5,73000.0,730.0,1600.0,29.0,38.47708851420958,36.430049120584826,36.004131367440195
Well,22.26,7.55,6.028649760438305,7.15,1.2,73000.0,730.0,1805.0,25.5,35.0393055135554,41.534717932163865,40.00203974945712
Well,21.46,7.4,6.15643105941948,8.3,1.15,170500.0,1705.0,2550.0,23.5,63.80947977338961,69.12604586582923,65.93362536271084
Pond,22.05,7.5,6.439814420961806,6.6,1.15,93000.0,930.0,1600.0,26.0,41.43856261884959,38.48729638053731,45.8330999641924
River,20.98,7.25,5.210502494538964,5.45,1.2,73000.0,730.0,1505.0,27.0,32.421731498495085,41.4985092313264,45.06212829199112
River,20.66,7.2,5.344909479901515,6.15,1.0,60500.0,605.0,1365.0,25.0,28.893083253849483,34.16110794790523,36.95179753324854
Pond,21.64,7.3,6.248646802561631,7.15,1.1,85500.0,855.0,1750.0,21.0,41.758415829786536,37.70973680242177,40.233446896934325
Spring,19.7,7.15,5.6801851327167325,5.5,0.8,73000.0,730.0,1805.0,28.5,41.04266214594819,33.01550840406837,39.08365739066296
Pond,19.48,7.35,5.364549203017926,6.85,0.7,111500.0,1115.0,2150.0,24.0,49.1746554991711,48.69163878172608,49.08083452454123
Tap,20.54,7.45,5.683663691654391,6.7,1.0,54500.0,545.0,1205.0,22.5,24.617218151155168,31.2189692087707,32.00351444859747
Lake,22.36,7.2,6.638832447894212,7.05,1.25,91000.0,910.0,1800.0,23.5,43.31780365919414,42.41532554062577,42.72487229858692
Spring,21.44,7.3,5.454214305582085,6.5,1.05,85500.0,855.0,2200.0,24.5,43.90736526275919,40.789059483825454,41.42812085259099
Well,21.48,7.45,6.023548690585019,7.75,1.35,62000.0,620.0,1360.0,26.5,29.83643861424901,39.37482596030926,36.06112079346324
Spring,19.68,7.25,5.273903673783053,6.0,1.25,51500.0,515.0,1115.0,24.0,27.882618848914724,33.15596449098156,26.247784625400687
Spring,20.76,7.1,5.51615939838639,7.55,1.15,88000.0,880.0,1505.0,26.5,40.56806664409668,41.24885066569838,38.031049119166646
Lake,20.46,7.45,6.049388425993595,5.9,1.3,51500.0,515.0,1255.0,24.0,25.5783882318484,32.690690047654066,24.299611876901555
Well,21.54,7.35,6.162708174494015,6.5,0.8,54000.0,540.0,1155.0,23.0,30.906366648063884,24.499858552011037,23.284297338165345
Well,20.37,7.3,6.031754818000319,7.0,0.95,86000.0,860.0,1600.0,23.5,39.08881327028068,41.16369785768254,36.03466028960721
Lake,29.880000000000003,7.3,8.652739403577165,3.9,1.35,62000.0,620.0,1360.0,23.0,33.645556900612206,39.86653826285836,35.825281076780335
River,20.14,7.15,5.385501920816379,7.0,1.2,63500.0,635.0,1410.0,25.5,29.085228099373385,31.605843442470377,30.65055984386428
Pond,20.12,7.1,5.715976485647482,6.85,0.8,63500.0,635.0,1600.0,24.0,30.118389953113684,28.37198775345065,37.26614809206193
Pond,20.67,7.15,5.219866621703272,6.85,0.95,51500.0,515.0,1765.0,26.0,30.5621138554995,25.494550029283737,31.074346727400844
Spring,18.64,7.4,5.287083176244221,6.3,0.9,63500.0,635.0,1515.0,23.5,30.50377170415761,27.50308941128817,24.6688200089682
Pond,19.880000000000003,7.25,5.184928472816158,7.9,1.0,73000.0,730.0,1505.0,23.0,41.55976528564682,32.03651601016887,41.42755018585246
Lake,19.28,7.35,5.298497982496359,6.4,0.9,54000.0,540.0,1115.0,25.5,27.20863631982166,27.411073226216526,35.804011803553664
Spring,20.78,7.3,6.047578512718457,5.65,1.0,54500.0,545.0,1300.0,22.0,29.827803292544928,23.398933715817503,26.86265109654381
Lake,23.8,7.2,5.590889658383264,5.9,1.05,91000.0,910.0,2100.0,27.5,44.7990741934028,41.35606320290751,46.25185239382424
Spring,21.02,7.25,6.67119363784273,5.25,1.35,78000.0,780.0,1550.0,28.0,32.26005314034033,41.26450948176817,35.85637242899415
Pond,19.45,7.15,4.871991309250149,5.2,0.85,54500.0,545.0,1205.0,21.5,22.30801956614568,25.249889378891403,32.231355820101705
Well,22.1,6.9,5.392905693606134,4.95,1.1,76500.0,765.0,1650.0,22.5,30.9744590604553,42.98134746618917,32.88729448352711
Pond,20.4,7.15,6.204055436750034,6.65,1.0,63500.0,635.0,1700.0,27.0,36.66321070873998,34.36013099871872,25.729100924746096
Lake,18.65,7.0,5.645831346981468,6.45,0.9,54500.0,545.0,1410.0,24.5,26.818054927829728,33.43812287872223,29.84039740368965
Spring,20.28,7.4,5.812059908526077,7.4,0.9,63500.0,635.0,1455.0,28.0,41.25750722387968,29.31712609498324,34.146351919401255
Lake,29.5,7.25,8.43917275463214,7.25,0.0,5750.0,57.5,125.0,22.0,9.010071888198173,15.465603086388173,12.35463232402381
Pond,21.26,7.15,5.993876613576543,5.3,0.9,70000.0,700.0,1765.0,23.0,34.746741116668936,29.62749230596151,30.85174296140246
Pond,29.92,7.3,7.426372814257085,7.35,0.0,2000.0,20.0,62.5,20.5,15.468400119020684,14.387854012094186,11.103589330335163
Spring,28.840000000000003,7.2,8.037902279096864,7.2,0.0,2000.0,20.0,42.5,20.5,17.168291785910636,11.379550914412382,14.537814630830786
River,21.56,7.1,5.661419144243944,6.15,0.9,78000.0,780.0,1700.0,21.5,44.32236805699758,39.12739306797295,39.339989382486365
Tap,16.45,7.25,4.612559866708875,5.8,1.8,4800.0,48.0,195.0,26.0,17.916834664847777,9.304153894834688,17.692674407347578
Spring,15.31,6.9,3.6764713092489303,5.7,1.65,4250.0,42.5,167.0,25.75,16.81744435200253,10.067273117447378,12.900271227137916
Pond,28.8,7.2,7.462251401603744,7.3,0.0,2250.0,22.5,60.0,20.5,12.067479794204925,13.23977828558204,19.2512148545113
Spring,19.92,7.15,5.464307079173503,6.0,0.95,54500.0,545.0,1255.0,22.0,31.776016626039024,25.23323914983237,25.84644165095329
Lake,38.34,7.15,9.956465727137813,6.35,0.0,14500.0,145.0,487.5,21.5,12.03703963029932,16.71837691931897,19.819170821190298
River,30.57,7.2,8.093137723598012,7.25,0.0,8750.0,87.5,197.5,23.5,9.09131130463125,7.148835050089869,21.456146543353505
Pond,21.96,7.1,5.4638898022167846,5.0,0.95,91000.0,910.0,2150.0,26.5,41.20661594515583,44.68494737787965,46.40608485376586
Tap,20.06,7.3,5.621843605745956,7.25,1.0,65000.0,650.0,1505.0,22.5,31.911937777139222,27.550408477283035,34.38700098577741
Well,22.72,7.55,6.247483285554361,7.2,1.0,86000.0,860.0,1600.0,27.5,37.95580087308654,41.89263490750063,39.6554251102179
Tap,21.36,7.5,5.621528412314435,7.3,1.15,75500.0,755.0,1600.0,25.5,38.86071806536599,38.98753896469224,44.44229711329958
Lake,21.52,7.15,5.639480847190838,7.3,1.05,51500.0,515.0,1205.0,25.0,31.574697333718994,25.46136986951901,23.74620149211501
Pond,21.86,7.2,5.991024968678818,5.45,1.4,54500.0,545.0,1300.0,23.0,29.94928223259602,32.32103175246276,27.59332477113349
Well,21.58,6.95,4.775957829251338,6.85,1.0,63500.0,635.0,1455.0,27.0,37.450249940539926,33.311209458193865,32.89257297469684
Lake,21.26,7.15,4.796268112811722,7.0,1.0,51500.0,515.0,900.0,27.0,23.805035041334055,26.043934974672,37.32618388297724
Spring,21.22,7.0,5.515777889373782,6.8,1.0,33000.0,330.0,1410.0,25.5,21.05389726218332,18.035455166866235,26.8185579316788
River,20.68,7.25,5.5182764241440765,6.9,1.25,54500.0,545.0,1455.0,21.5,26.75984281373721,21.440030863986344,27.371701235245443
Spring,20.78,7.3,5.780453782799002,5.3,1.2,60500.0,605.0,1310.0,27.0,24.488629196982732,33.005031608403954,32.65407593864454
Tap,20.08,7.55,6.237678108474776,5.9,1.25,77500.0,775.0,1650.0,25.5,36.83020184998912,30.62064004575406,36.7789246110157
River,9.09,7.0,3.05382981160101,8.05,0.365,200.0,2.0,44.0,16.5,9.245763016527995,10.942307063314203,9.393110263114757
Lake,15.19,6.95,4.420030735018287,7.4,2.845,2500.0,25.0,385.0,16.0,19.870817689659614,13.93266952289838,22.59997295855765
River,10.82,6.9,3.115491896048656,7.9,2.875,400.0,4.0,36.0,15.0,15.955754207288209,17.21935962835249,9.866884432061674
Pond,14.94,7.25,3.748735317681096,7.45,0.41,3750.0,37.5,525.0,18.5,7.222420783883536,10.52635618986458,22.556248293849933
Well,17.34,6.75,4.990743432003805,7.1,0.43,7150.0,71.5,550.0,18.5,18.96327234067929,11.56385599460073,19.712839596273263
Spring,16.54,7.25,4.605670680539931,7.3,0.385,6100.0,61.0,470.0,18.5,16.21524238723903,15.591956701636455,20.642764716942477
Pond,13.89,7.85,3.036359280169045,6.65,0.295,7600.0,76.0,1305.0,22.0,14.225053868955465,14.273098213494254,13.011305352949329
River,14.74,7.8,2.7113845282238387,6.85,0.31,7600.0,76.0,1305.0,22.0,11.285075129406934,14.21799424836762,14.642447578273204
Lake,14.53,7.55,3.009673257120586,6.25,0.55,12150.0,121.5,1750.0,21.5,10.500860717120249,16.705626402730665,9.92003189422408
Well,15.8,7.9,4.266369456501289,8.15,2.45,12100.0,121.0,1750.0,22.5,15.580645721758344,11.153897862527757,17.452548671911668
Well,30.72,8.0,8.070619925771572,6.05,0.72,10600.0,106.0,1305.0,22.0,17.81894850650077,17.723029633120262,19.62401734037361
Tap,14.739999999999998,7.45,3.0758558610494706,6.0,0.74,12150.0,121.5,1750.0,21.5,21.223105700846176,17.59069267385571,24.21994867012849
Pond,30.15,7.2,8.720071995855557,7.2,0.0,6250.0,62.5,132.5,24.0,16.90868209307229,7.799629510903559,8.880217048640088
Spring,30.5,7.3,7.424389764057082,7.3,0.0,2750.0,27.5,57.5,19.0,8.276086316854867,9.886759914826088,11.529454623981312
Spring,29.75,7.4,8.362046240905208,7.15,0.0,14750.0,147.5,280.0,23.6,10.0048279947723,14.665474522134536,16.590319589734495
Well,33.98,7.1,8.506296200390898,7.05,0.0,23500.0,235.0,400.0,24.5,17.586630016157283,17.1393011139347,13.102532151901258
Tap,21.94,7.5,4.298838049274416,7.2,0.445,2900.0,29.0,480.0,19.0,4.285151485289457,12.98580626625126,17.128646563111495
Spring,20.42,7.1,5.113495108072267,6.45,1.35,73000.0,730.0,1600.0,27.0,36.95480815889166,41.83854114055017,34.87954664031408
Spring,12.77,7.25,3.3872550871294718,7.85,2.98,300.0,3.0,36.0,16.0,13.237189281037132,19.03613171940699,16.03894970910267
Pond,10.51,7.1,3.248999145622725,8.05,2.915,200.0,2.0,53.0,18.0,11.92800417257448,8.878320439486485,14.583008322460604
Spring,10.35,7.0,3.725571803897521,7.8,0.39,300.0,3.0,46.5,14.5,3.9235395337420393,13.223148861048992,9.061635158927109
Spring,11.73,7.4,3.8546354130426033,7.9,2.82,400.0,4.0,78.5,18.0,15.44633375060473,19.86186380302665,16.794957825998345
Well,11.67,7.0,4.451591228755778,7.65,2.885,950.0,9.5,101.5,17.6,11.897415748025123,16.19735514231667,16.00593016539601
Tap,19.4,6.25,3.491326218555975,7.8,0.77,400.0,4.0,109.5,16.75,6.129316236993538,15.814878711843328,11.840294183754438
Lake,14.57,6.75,4.686160318360339,7.1,0.515,9300.0,93.0,815.0,16.0,2.479330923263883,22.185982226039883,12.549818757325696
Well,16.94,6.9,5.091671002869176,7.05,0.64,35000.0,350.0,2250.0,17.5,21.76556048729936,26.641245440773886,26.609724491989173
Pond,12.35,7.2,4.594901466608836,7.55,0.39,1350.0,13.5,175.0,16.3,16.63145542071079,12.014860901437835,21.958896542244773
Lake,14.03,7.3,3.595850857322424,7.3,0.385,9650.0,96.5,560.0,19.0,19.013517665096888,18.052002996669174,16.9212276111915
River,19.91,7.0,4.955139078909612,7.85,2.4,4250.0,42.5,93.0,13.6,12.564001812026335,15.562584500066176,22.608385702785093
Tap,20.72,7.0,5.200303677277989,8.4,3.15,5800.0,58.0,122.0,19.0,13.715881124093348,16.69018563243071,12.007774194491493
Tap,18.69,7.05,3.813052137845097,8.5,3.35,6700.0,67.0,123.0,19.5,18.24378641272445,15.702460542365229,20.543981767356925
River,20.74,7.2,5.23712248915962,8.7,3.5,6600.0,66.0,124.5,18.5,13.073564918586076,23.920284239038576,14.305414752989956
Pond,20.880000000000003,7.3,5.495433669223151,5.3,0.9,85000.0,850.0,1550.0,23.0,40.22465491841379,35.67057719828069,34.29576421036018
Tap,21.3,7.45,5.825196893238104,5.8,1.0,51500.0,515.0,1165.0,23.5,30.803576329642063,34.716750184520855,27.17993767553298
Lake,19.59,7.1,5.29587798788858,8.3,3.35,4500.0,45.0,90.0,16.5,20.290601792160828,18.55432885436135,25.13462249421262
River,18.43,7.15,5.688085419607943,8.85,3.25,5350.0,53.5,103.0,18.0,15.5541431419342,10.73063320141225,24.0196656931103
River,19.69,7.0,5.6002119190930255,8.6,3.5,5250.0,52.5,98.0,17.5,15.530782446826292,18.472127126205255,20.73910331279244
River,20.81,7.05,5.211548172168799,8.6,3.2,6050.0,60.5,98.5,19.0,12.866493553737696,7.957105343052998,11.434842011368977
Well,21.18,7.1,5.175792664325821,8.55,3.15,6600.0,66.0,114.0,18.5,13.162856071603862,19.47100066445445,18.402637010003616
Pond,17.4,7.1,5.245959585753253,8.1,3.25,5700.0,57.0,94.0,19.5,15.204119617872532,20.40270968500952,20.802221008900304
Pond,17.73,6.95,4.339883396489679,8.1,3.35,5350.0,53.5,90.5,19.0,17.416138707736806,14.251660206150248,20.188471005726523
Spring,18.8,7.2,6.290729382927177,6.2,3.3,6700.0,67.0,111.5,19.0,19.80608817557771,17.623892238491727,10.201048674767916
Spring,18.49,7.0,5.839720060360643,8.45,3.15,6450.0,64.5,89.5,20.0,13.193051573995143,24.97723824630248,14.783979142495289
Tap,21.81,7.05,5.640412173947648,8.4,3.2,6950.0,69.5,116.0,19.0,21.86635270627439,14.928692407090423,19.27601902449709
River,18.95,7.0,4.143432735454561,8.45,2.8,5350.0,53.5,104.5,13.0,14.228532668540902,11.477413836927406,21.21081922038847
Well,20.41,7.05,6.051936187082706,8.45,3.25,5100.0,51.0,93.5,18.5,15.766248058778697,22.714871205876367,7.792613133930532
